Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,115.470001,116.160004,114.820000,116.120003,115.169235,6661200
2021-06-14,116.589996,118.907997,116.410004,118.330002,117.361137,8467000
2021-06-15,117.849998,118.050003,114.639999,115.089996,114.147659,8590500
2021-06-16,114.900002,115.769997,111.879997,114.529999,113.592247,12257800
2021-06-17,113.800003,119.160004,113.620003,118.500000,117.529739,12696600
2021-06-18,117.769997,119.849998,117.379997,118.900002,117.926468,8495700
2021-06-21,118.470001,120.180000,116.519997,119.510002,118.531471,5448600
2021-06-22,119.040001,121.050003,118.849998,121.019997,120.029106,6356700
2021-06-23,121.500000,123.879997,121.220001,123.529999,122.518555,7841300
2021-06-24,124.910004,127.220001,124.519997,125.279999,124.254227,9897600
2021-06-25,125.940002,126.330002,124.029999,125.489998,124.462509,7330200
2021-06-28,128.699997,130.830002,128.533997,130.229996,129.163696,10325600
2021-06-29,130.070007,131.498993,129.009995,130.880005,129.808380,7071300
2021-06-30,130.550003,132.500000,129.059998,130.779999,129.709198,9309800
2021-07-01,130.750000,131.550003,127.279999,129.160004,128.102463,7357100
2021-07-02,129.880005,131.429993,127.889999,128.149994,127.100723,5891700
2021-07-06,128.100006,128.975998,126.410004,127.239998,126.198181,7372600
2021-07-07,128.009995,128.279999,123.120003,124.260002,123.242584,9314200
2021-07-08,120.379997,124.339996,119.389999,123.309998,122.300354,9659900
2021-07-09,123.610001,125.900002,122.029999,125.620003,124.591446,6307400
2021-07-12,126.239998,127.400002,124.010002,124.739998,123.718651,4063600
2021-07-13,124.489998,124.949997,122.199997,122.269997,121.268867,6477400
2021-07-14,123.309998,123.309998,118.070000,118.169998,117.202446,10497000
2021-07-15,118.050003,119.410004,114.459000,116.400002,115.446938,12755600
2021-07-16,117.809998,117.940002,115.449997,116.529999,115.575874,7648200
2021-07-19,113.919998,117.580002,113.269997,117.279999,116.319733,11861800
2021-07-20,117.510002,121.175003,116.449997,120.760002,119.771240,6707700
2021-07-21,120.875000,122.910004,119.980003,122.660004,121.655685,5738200
2021-07-22,122.500000,123.419998,121.250000,121.709999,120.713455,4781500
2021-07-23,122.000000,122.559998,120.379997,122.430000,121.427567,4388500
2021-07-26,122.500000,123.110001,120.949997,121.599998,120.604355,5802400
2021-07-27,121.000000,121.519997,115.583000,118.620003,117.648766,10982300
2021-07-28,118.559998,121.779999,117.959999,121.349998,120.356407,5810700
2021-07-29,121.160004,123.230003,120.669998,121.599998,120.604355,3759700
2021-07-30,120.000000,122.410004,119.620003,120.000000,119.017464,5263200
2021-08-02,120.540001,122.440002,119.089996,121.120003,120.128296,5211800
2021-08-03,121.309998,121.489998,118.519997,120.220001,119.235657,6748900
2021-08-04,120.080002,123.389999,119.989998,123.279999,122.270599,5300900
2021-08-05,122.519997,126.250000,121.739998,125.570000,124.541855,5260000
2021-08-06,125.269997,125.730003,122.290001,123.010002,122.002815,6044700
2021-08-09,123.629997,125.480003,122.980003,124.699997,123.678978,4528100
2021-08-10,124.870003,125.570000,121.419998,121.440002,120.445671,5387100
2021-08-11,122.559998,122.879997,119.360001,121.300003,120.306816,6007900
2021-08-12,120.900002,122.290001,120.589996,121.849998,120.852310,3320300
2021-08-13,121.959999,122.099998,119.910004,120.099998,119.116638,3973500
2021-08-16,119.250000,119.300003,115.230003,116.980003,116.022194,7762900
2021-08-17,115.379997,116.809998,114.230003,115.889999,114.941109,8425700
2021-08-18,116.059998,117.989998,114.940002,115.839996,114.891518,6016200
2021-08-19,114.260002,116.139999,113.540001,113.849998,112.917816,5713700
2021-08-20,114.349998,116.160004,114.150002,115.800003,114.851852,4591100
2021-08-23,116.989998,119.610001,116.860001,119.480003,118.501724,6587100
2021-08-24,120.300003,121.120003,119.830002,121.059998,120.068779,5165900
2021-08-25,120.940002,121.500000,120.190002,121.029999,120.039024,3508700
2021-08-26,120.720001,122.360001,118.870003,119.160004,118.184341,4715800
2021-08-27,119.820000,122.389999,119.350998,122.029999,121.030838,3793500
2021-08-30,122.239998,123.260002,121.489998,122.790001,121.784615,2992400
2021-08-31,121.650002,122.410004,120.720001,122.029999,121.030838,3926200
2021-09-01,122.500000,124.730003,122.300003,123.720001,122.707001,4673700
2021-09-02,124.510002,125.349998,124.050003,124.830002,123.807915,3212200
2021-09-03,124.519997,125.610001,123.849998,125.070000,124.045944,3916000
2021-09-07,125.209999,126.320000,124.180000,124.709999,123.688896,4128800
2021-09-08,124.059998,124.059998,120.370003,121.169998,120.177879,6390800
2021-09-09,121.180000,123.470001,120.919998,121.709999,120.713455,3648700
2021-09-10,122.650002,122.970001,120.440002,120.459999,119.473694,3342900
2021-09-13,120.720001,120.809998,116.139999,118.169998,117.202446,6980000
2021-09-14,118.739998,119.550003,116.470001,116.860001,115.903168,5234000
2021-09-15,116.959999,117.970001,115.599998,117.820000,116.855309,4675000
2021-09-16,117.470001,118.949997,116.400002,118.570000,117.599167,4739800
2021-09-17,118.830002,121.500000,117.860001,121.500000,120.505180,7752100
2021-09-20,116.970001,118.619003,114.440002,116.139999,115.189064,9990100
2021-09-21,117.260002,118.139999,116.220001,117.139999,116.180878,5092300
2021-09-22,117.180000,118.980003,116.870003,118.110001,117.142937,3659500
2021-09-23,119.309998,119.519997,118.129997,119.339996,118.362862,4163000
2021-09-24,118.089996,118.400002,116.269997,117.129997,116.170959,5075800
2021-09-27,116.510002,117.269997,114.599998,117.029999,116.071777,8196800
2021-09-28,115.290001,115.580002,111.809998,112.139999,111.221817,12146100
2021-09-29,112.919998,113.339996,109.599998,109.720001,108.821632,8954900
2021-09-30,110.349998,111.709999,110.000000,110.529999,109.625000,8549600
2021-10-01,111.019997,111.449997,109.139999,111.169998,110.259758,5252200
2021-10-04,110.720001,110.820000,106.349998,107.190002,106.312347,7650500
2021-10-05,107.570000,110.230003,107.570000,109.040001,108.147202,5582400
2021-10-06,108.000000,110.330002,107.730003,109.940002,109.039833,4677200
2021-10-07,111.199997,113.379997,110.940002,112.599998,111.678047,5129800
2021-10-08,112.970001,113.120003,110.449997,110.599998,109.694427,4477500
2021-10-11,110.190002,112.059998,109.760002,110.239998,109.337372,4014100
2021-10-12,110.769997,112.330002,110.657997,111.739998,110.825089,3844600
2021-10-13,112.010002,113.519997,111.940002,113.430000,112.501251,4484800
2021-10-14,115.000000,116.580002,114.650002,115.580002,114.633652,4861200
2021-10-15,116.430000,116.489998,115.309998,115.800003,114.851852,3538200
2021-10-18,115.029999,117.190002,114.940002,117.050003,116.091614,3927300
2021-10-19,117.699997,120.169998,117.529999,119.599998,118.620735,5706700
2021-10-20,120.140999,120.400002,118.160004,118.699997,117.728104,3666500
2021-10-21,118.440002,120.760002,118.370003,119.660004,118.680244,4406800
2021-10-22,119.099998,119.129997,116.690002,117.750000,116.785881,4944700
2021-10-25,118.589996,122.279999,117.801003,121.809998,120.812637,7614600
2021-10-26,122.650002,124.449997,120.580002,121.199997,120.207634,7907300
2021-10-27,121.269997,121.870003,118.680000,118.680000,117.708267,4869300
2021-10-28,118.699997,122.214996,118.540001,121.769997,120.772964,4681700
2021-10-29,120.919998,122.058998,120.709999,121.279999,120.286980,3166400
2021-11-01,121.930000,125.150002,121.889999,125.120003,124.095543,6516500
2021-11-02,124.559998,124.559998,121.870003,123.089996,122.082153,5595900
2021-11-03,122.279999,124.669998,121.360001,124.639999,123.619469,3928400
2021-11-04,124.732002,125.860001,123.288002,124.389999,123.371513,7436100
2021-11-05,123.959999,124.500999,121.019997,122.290001,121.288712,5807100
2021-11-08,121.690002,124.300003,121.610001,123.400002,122.389626,3428800
2021-11-09,123.910004,124.220001,119.650002,120.570000,119.582794,5724100
2021-11-10,118.419998,120.785004,115.199997,116.540001,115.585793,7951900
2021-11-11,118.279999,118.779999,117.099998,117.339996,116.379234,3978100
2021-11-12,117.769997,118.519997,116.709999,118.489998,117.519821,3740700
2021-11-15,118.849998,119.050003,116.639999,117.529999,116.567680,3690200
2021-11-16,116.739998,118.919998,116.120003,118.919998,117.946304,3324500
2021-11-17,118.370003,118.709999,116.169998,116.720001,115.764320,3902600
2021-11-18,117.129997,117.730003,113.220001,113.820000,112.888062,6025900
