Date,Open,High,Low,Close,Adj Close,Volume
2021-04-21,45.570000,49.470001,44.255001,49.389999,49.389999,515900
2021-04-22,49.880001,50.480000,48.049999,49.180000,49.180000,592600
2021-04-23,49.810001,50.633999,48.509998,49.450001,49.450001,449400
2021-04-26,50.299999,51.730000,49.070000,50.660000,50.660000,402600
2021-04-27,50.590000,51.599998,49.669998,50.900002,50.900002,402700
2021-04-28,50.150002,51.160000,48.660000,50.700001,50.700001,327100
2021-04-29,51.270000,51.509998,48.360001,49.000000,49.000000,543900
2021-04-30,48.240002,50.049999,48.215000,49.750000,49.750000,583700
2021-05-03,50.200001,50.340000,45.250000,45.990002,45.990002,594300
2021-05-04,45.419998,45.599998,42.770000,45.270000,45.270000,863300
2021-05-05,46.160000,46.320000,42.759998,43.660000,43.660000,568500
2021-05-06,43.130001,43.930000,40.860001,43.810001,43.810001,823700
2021-05-07,45.349998,47.459999,44.130001,44.349998,44.349998,679800
2021-05-10,43.200001,43.419998,40.790001,42.310001,42.310001,1207100
2021-05-11,38.070000,43.369999,38.000000,39.889999,39.889999,1771500
2021-05-12,38.419998,39.660000,36.060001,36.459999,36.459999,1106900
2021-05-13,37.349998,38.250000,33.660000,35.200001,35.200001,1339700
2021-05-14,36.020000,37.500000,35.270000,36.560001,36.560001,1047300
2021-05-17,35.220001,36.049999,33.900002,35.619999,35.619999,846900
2021-05-18,35.750000,37.939999,34.880001,36.439999,36.439999,901700
2021-05-19,35.130001,36.970001,34.910000,36.650002,36.650002,839500
2021-05-20,37.220001,38.169998,36.919998,37.130001,37.130001,683200
2021-05-21,37.970001,39.400002,37.119999,37.759998,37.759998,1475000
2021-05-24,38.139999,38.759998,37.215000,37.290001,37.290001,553700
2021-05-25,37.820000,39.000000,37.730000,38.250000,38.250000,700700
2021-05-26,38.209999,40.514999,37.779999,40.400002,40.400002,673200
2021-05-27,40.340000,40.625000,38.799999,39.480000,39.480000,727900
2021-05-28,39.860001,41.759998,38.709999,39.049999,39.049999,539000
2021-06-01,39.169998,39.790001,35.939999,36.599998,36.599998,737500
2021-06-02,36.389999,37.080002,35.400002,36.070000,36.070000,899200
2021-06-03,35.619999,36.209999,33.840000,33.900002,33.900002,1034800
2021-06-04,34.200001,35.369999,32.869999,32.939999,32.939999,1067300
2021-06-07,33.590000,36.049999,33.270000,34.939999,34.939999,1581900
2021-06-08,35.709999,35.980000,33.279999,34.400002,34.400002,749000
2021-06-09,34.730000,36.435001,34.610001,35.520000,35.520000,1031200
2021-06-10,35.939999,37.209999,34.680000,36.689999,36.689999,1010600
2021-06-11,36.689999,37.580002,35.834999,36.139999,36.139999,660800
2021-06-14,36.380001,38.110001,36.369999,37.250000,37.250000,662100
2021-06-15,37.900002,38.060001,35.849998,36.450001,36.450001,548400
2021-06-16,36.419998,36.959999,34.770000,36.369999,36.369999,497700
2021-06-17,35.950001,38.860001,35.796001,38.189999,38.189999,652500
2021-06-18,37.419998,38.515999,36.310001,37.470001,37.470001,1357900
2021-06-21,37.570000,38.330002,36.230000,38.009998,38.009998,561600
2021-06-22,37.959999,38.590000,37.509998,38.560001,38.560001,416100
